iter	Logloss
0	0.689675715411	0.686604384422	0.683536749933	0.6806505367
4	0.67785997255	0.675135713766	0.6724035683
7	0.6699034348	8	0.6675187142
9	0.6652001212110	0.6629765829111	0.6608992482
12	0.6588438252
13	0.6568906979
14	0.6551160976
15	0.6534730584
16	0.6516481324
17	0.6501364412
18	0.6485740772
19	0.6470310993
20	0.6455841171
21	0.644081628
22	0.6427374214
23	0.6414748863
24	0.6401192019
25	0.6388069953
26	0.6375842101
27	0.6364302569
28	0.6354090124
29	0.6343370712
30	0.6332110489
31	0.6322844466
32	0.6313179224
33	0.6303969423
34	0.6294378604
35	0.6286173241
36	0.6278979678
37	0.6270439687
38	0.6262780346
39	0.6255667537
40	0.6248305319
41	0.624154289
42	0.6235144128
43	0.6229424733
44	0.6222584538
45	0.6216225163
46	0.6209730165
47	0.6204417595
48	0.6198370066
49	0.6192714142
50	0.6187706201
51	0.6182473328
52	0.617743573
53	0.6173179471
54	0.6167536031
55	0.6163686208
56	0.6160236358
57	0.6155793571
58	0.6151687693
59	0.6147226986
60	0.6142986287
61	0.6138882888
62	0.6134369362
63	0.6131348058
64	0.6127461293
65	0.6124337457
66	0.6120502628
67	0.6116962031
68	0.6112657325
69	0.6108457976
70	0.6105049793
71	0.6100590165
72	0.6097713722
73	0.6094184063
74	0.6090839749
75	0.6087378935
76	0.6083965078
77	0.6080448103
78	0.6077049003779	0.6074501982
80	0.6071609318
81	0.6068691276
82	0.6065345277
83	0.6063519506884	0.6060708758585	0.605831966886	0.6054749318887	0.6052114734
88	0.604938907
89	0.6047630185
90	0.6045955052
91	0.604372366
92	0.6041027821
93	0.603891382
94	0.6036124725
95	0.6033491813
96	0.6030673506
97	0.6027765627
98	0.6024476825
99	0.6021893347
100	0.6017582191
101	0.6015814491
102	0.6013595028
103	0.6011991307
104	0.6010089808
105	0.6007710712
106	107	0.5955956107	108	0.5953548108	109	0.595161109	0110	0.59483110	0.111	0.59463111	0112	0.594407112	0113	0.594198113	0114	0.593940114	0115	0.593702814
116	0.5934562507
117	0.5933061531
118	0.5931645641
119	0.59303034611120	0.5928797531
121	0.5927234248
122	0.592432895
123	0.59226318123124	0.5920011412125	0.5918181375
126	0.5916233977
127	0.59146683112128	0.59128765712129	0.59091508512130	0.59080483413131	0.59060511131132	0.59039200132133	0.5901872113134	0.58993466513135	0.5897501108
136	0.5895376009
137	0.5893202247
138	0.5891763448
139	0.5889346116
140	0.588818675
141	0.5887009705
142	0.5884884704
143	0.588321055
144	0.5880424853
145	0.587794971
146	0.5875364758
147	0.5874048259
148	0.5872564679
149	0.5871106431
150	0.586961556
151	0.586778549
152	0.5864637454
153	0.5863377214
154	0.5862272556
155	0.5860755378
156	0.5858639477
157	0.5854637144
158	0.5852807283
159	0.5850442529
160	0.5849268385
161	0.5847171872
162	0.5845863596
163	0.5844878673
164	0.5843051467
165	0.5841109708
166	0.5839037596
167	0.5837834382
168	0.5836665042
169	0.5833279349
170	0.5832130343
171	0.5830482796
172	0.582904792
173	0.5826674748
174	0.5824516289
175	0.5821857137
176	0.5819454478
177	0.5817161685
178	0.5813274306
179	0.5811276847
180	0.5808423913
181	0.580678802
182	0.580554469
183	0.5802812875
184	0.5799782241
185	0.5797934741
186	0.5797122578
187	0.5793680868
188	0.5791033073
189	0.5789640945
190	0.5787635351
191	0.5784732787
192	0.5783236538
193	0.5781534411
194	0.5779083179
195	0.5776624255
196	0.5774691034
197	0.5772556613
198	0.5769498378
199	0.5768028823
200	0.5766405274
201	0.5763672457
202	0.5761981347
203	0.575913016
204	0.5756853925
205	0.5754949197
206	0.5753097808
207	0.5751987556
208	0.5750326213
209	0.5748682654
210	0.5746241698
211	0.5743630796
212	0.5741664064
213	0.5739554544
214	0.5736390062
215	0.5733601525
216	0.5732539493
217	0.5730385519
218	0.5728960541
219	0.5725885675
220	0.5723769885
221	0.5721946881
222	0.5720299095
223	0.5719388709
224	0.5717970849
225	0.5714895857
226	0.5712700857
227	0.5711467997
228	0.570942366
229	0.5707699235
230	0.5706559389
231	0.5704774636
232	0.5703632898
233	0.570203989
234	0.5698797063
235	0.5696752696
236	0.569594491
237	0.569492359
238	0.5693226366
239	0.5691463207
240	0.5687655376
241	0.5686174177
242	0.5682669842
243	0.5680421225
244	0.5678229346
245	0.567530416
246	0.567376243
247	0.5672565438
248	0.5670642705
249	0.5668250867
250	0.5665091406
251	0.5663271317
252	0.5661593437
253	0.5659804633
254	0.5657011291
255	0.5655471043
256	0.5653454212
257	0.5651729617
258	0.5649588324
259	0.5646699694
260	0.5644442976
261	0.5642546835
262	0.5641172543
263	0.5640004792
264	0.5638069727
265	0.5636568854
266	0.56352206
267	0.5634166957
268	0.5633188924
269	0.5631923407
270	0.5629778266
271	0.5627816868
272	0.562525222
273	0.5622398776
274	0.5620243579
275	0.5618577256
276	0.5616912448
277	0.56155997
278	0.5614083104
279	0.5612648341
280	0.5611912613
281	0.5610700647
282	0.5608696804
283	0.56072523
284	0.5604994658
285	0.5602513254
286	0.5600605737
287	0.5599505283
288	0.5597540888
289	0.5595110623
290	0.5593059935
291	0.5591444534
292	0.5588345535
293	0.5586831414
294	0.5585351198
295	0.5584597229
296	0.5583023655
297	0.5580112693
298	0.5579037005
299	0.5577147868
300	0.5575502303
301	0.5573832482
302	0.5572090651
303	0.5569915895
304	0.5568020972
305	0.5566384781
306	0.5564362946
307	0.5562516603
308	0.556101574
309	0.5559541639
310	0.5558544287
311	0.5557407613
312	0.5556174306
313	0.5554917389
314	0.5553507042
315	0.5552727083
316	0.5550154528
317	0.5549008193
318	0.5547197692
319	0.5545907892
320	0.5542762743
321	0.5541326961
322	0.5539543522
323	0.5538150137
324	0.5535748745
325	0.5533335256
326	0.5532051492
327	0.5530495868
328	0.5527102788
329	0.5525950723
330	0.5525194025
331	0.5524598881
332	0.5522481042
333	0.5520196054
334	0.5518919872
335	0.5517413542
336	0.5516289282
337	0.5514813165
338	0.5513420561
339	0.5512038541
340	0.5510816092
341	0.5509990027
342	0.5508132215
343	0.5505190091
344	0.5503902759
345	0.5501440773
346	0.5499610093
347	0.5497951862
348	0.5496606244
349	0.5493651994
350	0.549146797
351	0.5489497737
352	0.5486634396
353	0.5484686015
354	0.5483865458
355	0.5481919464
356	0.5480029591
357	0.5477846965
358	0.5476313522
359	0.5474670066
360	0.5473234907
361	0.5471457114
362	0.5469228736
363	0.546811409
364	0.5466417334
365	0.5464353003
366	0.5462510953
367	0.5460414864
368	0.5459355464
369	0.5456889229
370	0.5455174856
371	0.545286861
372	0.5451896448
373	0.5449360976
374	0.5448370504
375	0.5446019901
376	0.5444904866
377	0.5443118257
378	0.5441753693
379	0.5439954533
380	0.5437622747
381	0.5434749745
382	0.5432672865
383	0.5431404794
384	0.5430128228
385	0.5428521307
386	0.5427429683
387	0.5425865946
388	0.5423935584
389	0.5422685038
390	0.5420928641
391	0.541835924
392	0.5416549985
393	0.541509309
394	0.5412268355
395	0.5409241844
396	0.5407527344
397	0.5406175863
398	0.5404077059
399	0.5402964302
400	0.5401238531
401	0.5399016365
402	0.5397270072
403	0.5394925005
404	0.5393928288
405	0.5391228805
406	0.5389268627
407	0.5388545369
408	0.5386238461
409	0.5383865138
410	0.5381770017
411	0.5380225391
412	0.5377823801
413	0.5376259783
414	0.5374278592
415	0.5373261386
416	0.5370904891
417	0.5368853686
418	0.5367282982
419	0.5366852228
420	0.53659265
421	0.536330514
422	0.5361128017
423	0.5359803313
424	0.5358839339
425	0.5355854316
426	0.5353978427
