iter	Logloss
427	0.5352080019
428	0.5350759791
429	0.5348684902
430	0.5346329474
431	0.5431	0.5382432	0.5432	0.5379433	0.5433	0.5378434	0.5434	0.5377435	0.5435	0.5375436	0.5436	0.5372437	0.437	0.53708438	0.438	0.53696439	0.439	0.53668440	0.440	0.53650441	0.441	0.53622442	0.442	0.53608443	0.443	0.5358786362
444	0.5355802477
445	0.5352956335
446	0.5351092071
447	0.5349230125
448	0.534654527
449	0.5344095731
450	0.5341675186
451	0.5339152476
452	0.5336662625
453	0.5334746885
454	0.5332446862
455	0.5330739389
456	0.5327900255
457	0.5325558848
458	0.5322550492
459	0.5319540277
460	0.5318107204
461	0.5315656492
462	0.5314631552
463	0.5312997937
464	0.5311971387
465	0.5310423597
466	0.5309255641
467	0.5307383069
468	0.5305491208
469	0.5304248617
470	0.5302944864
471	0.5301139595
472	0.5299112521
473	0.5296934642
474	0.5294148455
475	0.5292464645
476	0.5289863087
477	0.5287819688
478	0.5285889136
479	0.5282523194
480	0.5279370518
481	0.5277221402
482	0.5274346758
483	0.5271974802
484	0.526904435
485	0.526654231
486	0.5263583776
487	0.5260472653
488	0.525870688
489	0.5257011385
490	0.5254399283
491	0.5251587386
492	0.5250280009
493	0.5246861484
494	0.5244473355
495	0.5242369074
496	0.5239620123
497	0.5236954554
498	0.5235083888
499	0.5232770438

45490772
